ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
822,822,32867483,33749815,35249184
823,823,34713577,35543643,37052827
824,824,34001834,34766327,36263326
825,825,33322989,33984384,35623956
826,826,35014886,35726578,37252676
827,827,32974655,33783410,35287583
828,828,33574983,34410189,36041811
829,829,32938842,33798500,35674449
830,830,34005409,34859163,36389500
831,831,33442641,34247770,35800796
832,832,33373750,34203966,35788676
833,833,34381441,35206960,36613087
834,834,33976952,34757176,36460188
835,835,34355787,35252792,37036111
836,836,33247266,34044024,35613602
837,837,33333074,34205163,35692067
838,838,34368988,35193312,36606848
839,839,33727120,34448046,36451594
840,840,34453384,35231908,36854820
841,841,33454393,34294134,35859174
842,842,35463846,36269309,37750784
843,843,34711315,35481661,37094913
844,844,35178304,35960558,37518304
845,845,34843195,35685761,37112715
846,846,35359052,36230027,37675614
847,847,35046851,35890614,37542449
848,848,35088235,35743432,37368090
849,849,35980917,36830606,38486900
850,850,34924820,35815183,37317081
851,851,35512315,36205140,38151429
852,852,35794158,36745975,38399762
853,853,34575614,35492922,36967068
854,854,35629427,36495661,38071212
855,855,34510833,35403816,37153247
856,856,35449251,36209525,37734657
857,857,35353206,36151022,37735501
858,858,34729592,35615913,37175005
859,859,35710592,36512440,38188151
860,860,35930235,36679014,38411254
861,861,35790074,36710896,38191081
862,862,35413450,36258748,37819130
863,863,36269063,37121695,38565559
864,864,35536607,36287918,37801665
865,865,35175255,36011830,37639567
866,866,34255313,35090644,36821084
867,867,36336991,37137840,38778716
868,868,36682482,37586527,39092230
869,869,37504406,38319622,39686141
870,870,37287928,38113976,39818225
871,871,36128001,36826760,38558417
872,872,37529945,38412306,39884003
873,873,36867045,37512872,39334582
874,874,36702303,37653617,39167567
875,875,35183506,36207844,37601840
876,876,37102378,37910486,39677144
877,877,35275553,36029017,37812905
878,878,35806989,36780574,38475880
879,879,36026641,36768257,38696417
880,880,38049523,38920277,40374909
881,881,35892672,36652080,38232379
882,882,36836894,37554012,38991895
883,883,37124655,37827941,39523085
884,884,36131135,36938091,38956761
885,885,36441636,37159658,38827533
886,886,37011879,37808619,39476626
887,887,35436089,36342412,38036923
888,888,35925961,36717438,38371268
889,889,37489854,38323204,40005284
890,890,36986893,37884837,39516362
891,891,38192544,39145572,40750284
892,892,37729889,38635185,40159081
893,893,38060983,38910164,40365102
894,894,37951880,38756059,40297223
895,895,37782582,38681230,40413659
896,896,37408735,38094526,39962248
897,897,36678381,37529302,39347094
898,898,37561280,38644369,40140274
899,899,38754086,39832054,41269787
900,900,35703520,36598704,38011147
901,901,37341122,38420508,39936833
902,902,37758321,38743122,40132814
903,903,38027539,39081607,40772360
904,904,38039033,38851427,40751239
905,905,37670950,38574499,40060430
906,906,38445166,39438368,40884206
907,907,36846708,37830078,39205680
908,908,38736687,39639373,41032993
909,909,38111457,39042011,40452092
910,910,39112109,39898627,41664327
911,911,39468498,40401376,41899151
912,912,38286697,39156728,40882342
913,913,36727002,37568312,39302506
914,914,38134336,39004335,40838227
915,915,38617472,39367679,41094176
916,916,37685699,38358376,40094236
917,917,38833659,39653737,41508107
918,918,39012500,40046218,41489905
919,919,37932729,38721392,40525669
920,920,37183836,37989077,39650331
921,921,37542077,38352559,40102412
922,922,38323162,39322899,40948620
923,923,37757091,38553952,40324106
924,924,37810520,38801558,40338610
925,925,36588197,37428326,39385658
926,926,38772324,39824968,41225314
927,927,38593483,39321421,41190915
928,928,38786345,40011068,41389433
929,929,39277603,40100969,41843561
930,930,39331518,40218131,41896519
931,931,40034250,41037270,42672610
932,932,39196675,40114861,41479174
933,933,38962787,39976003,41518103
934,934,38926630,39860412,41398883
935,935,39889372,40928950,42355396
936,936,39734205,40509565,42143539
937,937,39139472,40086053,41810692
938,938,38158251,39089949,40571146
939,939,37863377,38810432,40294630
940,940,39383724,40303719,41988995
941,941,39125712,39887699,41635051
942,942,40076748,41102365,42577139
943,943,40537714,41568779,42908989
944,944,39074183,39812667,41922856
945,945,40815583,41746054,43178896
946,946,38249411,39142031,40772134
947,947,39109576,40033841,41664819
948,948,39600810,40508667,41888106
949,949,40158859,41019916,42616324
950,950,40645983,41514419,43045680
951,951,40130628,41182026,42750319
952,952,39342361,40330891,42192333
953,953,39965959,40807089,42708438
954,954,40396771,41255689,42984550
955,955,39778072,40556968,42217063
956,956,38731343,39735433,41326069
957,957,39430150,40343459,42067796
958,958,40954067,41733741,43672397
959,959,40265881,41418472,42758859
960,960,41032126,41860501,43605771
961,961,39707341,40654890,42396027
962,962,40544654,41585776,43158988
963,963,41718800,42526315,44167390
964,964,42015677,42988096,44687195
965,965,39945006,40767465,42444881
966,966,41418922,42447331,44055541
967,967,41121967,42187921,43519335
968,968,40431693,41350727,42885965
969,969,41546396,42584752,44053905
970,970,40988026,41878456,43233362
971,971,40399637,41355943,43013262
972,972,40292211,41181781,42698341
973,973,40712210,41678865,43392908
974,974,41496990,42414973,43978453
975,975,42001509,42861119,44658196
976,976,41715586,42657979,44281748
977,977,42638741,43665716,45212879
978,978,40871668,41895662,43293334
979,979,43063425,43897504,45733955
980,980,42583919,43602859,44985519
981,981,41679038,42841285,44089010
982,982,42430064,43403101,44889770
983,983,41802156,42685503,44324099
984,984,40599106,41492801,43305871
985,985,42469329,43308646,45098073
986,986,40827219,41788276,43548671
987,987,41717749,42586511,44392695
988,988,41682306,42626059,43969598
989,989,42781565,43744800,45484814
990,990,42240158,43069801,44782921
991,991,42183331,43184981,44651415
992,992,41420418,42438245,43879372
993,993,41173088,42181015,43863130
994,994,41796901,42850339,44299278
995,995,41746982,42755323,44418234
996,996,42326727,43469723,45160084
997,997,40565290,41518854,43117222
998,998,40899986,42078279,43423350
999,999,42916875,44003012,45475238
1000,1000,40637873,41549024,43410468
102.699 107.868
