ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
401,401,13631784,13675480,14304551
402,402,15125844,15178331,15827313
403,403,14417624,14465952,15141126
404,404,15507073,15562321,16144056
405,405,14022020,14072429,14711871
406,406,14923334,14979933,15622224
407,407,15640862,15700699,16306127
408,408,15938986,15994453,16592924
409,409,14757011,14806602,15441125
410,410,15210936,15266766,15884022
411,411,15454611,15511744,16112170
412,412,15761623,15821356,16452283
413,413,15590782,15645049,16263519
414,414,15120725,15174099,15855243
415,415,15958104,16010872,16640083
416,416,16427474,16483882,17146072
417,417,15648488,15705681,16333940
418,418,15036352,15089044,15741134
419,419,15318169,15375539,15997263
420,420,15248037,15301595,15962659
421,421,16127863,16181839,16827064
422,422,16351869,16411458,17030523
423,423,16282247,16337175,16947285
424,424,16572221,16628685,17244541
425,425,15539669,15599565,16233264
426,426,15682983,15741776,16371689
427,427,16173974,16224825,16888581
428,428,16658872,16712047,17390956
429,429,16621059,16675166,17341302
430,430,16058297,16115397,16692010
431,431,16251729,16304942,16909808
432,432,17000756,17057356,17642326
433,433,16494993,16554273,17225221
434,434,16477700,16535493,17178939
435,435,17492783,17548178,18118894
436,436,16674428,16730762,17405938
437,437,16582029,16639720,17295771
438,438,16773771,16830012,17444394
439,439,16809703,16867886,17532439
440,440,16257069,16314368,16959227
441,441,17275073,17326738,17946896
442,442,16712259,16769297,17406903
443,443,15757113,15807577,16492214
444,444,17381750,17434647,18103038
445,445,16173982,16231108,16817360
446,446,17048811,17106915,17775009
447,447,17207368,17260826,17840765
448,448,16146133,16202523,16875379
449,449,16511360,16570376,17252459
450,450,17508020,17561241,18164017
451,451,16819440,16873954,17505900
452,452,17551076,17607711,18205386
453,453,16534529,16591483,17256610
454,454,17623844,17678454,18331343
455,455,17695294,17745509,18354967
456,456,16210155,16267623,16926986
457,457,16991740,17051633,17675363
458,458,17393621,17452212,18124010
459,459,18013024,18072876,18683299
460,460,16997758,17059329,17727637
461,461,17140837,17201364,17817846
462,462,17387654,17446123,18115860
463,463,18190253,18252891,18828937
464,464,17985944,18043160,18729344
465,465,17326787,17380275,18065666
466,466,18599303,18666175,19226437
467,467,17869062,17931033,18604340
468,468,18199592,18260404,18831153
469,469,18143091,18198917,18813391
470,470,18085380,18136589,18764483
471,471,18170607,18228879,18789607
472,472,17670484,17730984,18360612
473,473,18006663,18066868,18719333
474,474,18095387,18156001,18765070
475,475,17348847,17402778,18035035
476,476,18674099,18738351,19350962
477,477,17832020,17884907,18546667
478,478,18455133,18516260,19095957
479,479,17823470,17881288,18505529
480,480,18212143,18268603,18881074
481,481,17630238,17690807,18332075
482,482,18601343,18665419,19284278
483,483,18703991,18767139,19360152
484,484,18015520,18072456,18700372
485,485,18855211,18908269,19536315
486,486,18473618,18534549,19205274
487,487,19186404,19250477,19840777
488,488,18544275,18606059,19270145
489,489,19484335,19551869,20139206
490,490,18498434,18556601,19150721
491,491,19417528,19481589,20089445
492,492,19771802,19842144,20394109
493,493,18435682,18495838,19116337
494,494,19197871,19255912,19903078
495,495,18860266,18920586,19475739
496,496,18487530,18550783,19166159
497,497,18545731,18609036,19243841
498,498,18856997,18913868,19493248
499,499,19186802,19245364,19838275
500,500,20110643,20182935,20723055
501,501,19347408,19413621,20040070
502,502,19346851,19408231,19970871
503,503,19718294,19786404,20424951
504,504,19802212,19871534,20477824
505,505,18741731,18803300,19404533
506,506,19770147,19836382,20456710
507,507,19954130,20023863,20546221
508,508,19112768,19169094,19783064
509,509,20203579,20275900,20814822
510,510,19884782,19954340,20563472
511,511,20008575,20078229,20627914
512,512,19626906,19695857,20344402
513,513,21461631,21541690,22057277
514,514,20145769,20219061,20768841
515,515,20220625,20292377,20874850
516,516,19996211,20067676,20665326
517,517,19830003,19897750,20527194
518,518,19969994,20038547,20657923
519,519,19770395,19845287,20418996
520,520,20129635,20201589,20837679
521,521,20293651,20365863,20935655
522,522,19872914,19942956,20567389
523,523,20259631,20336438,20989388
524,524,20668871,20746393,21344023
525,525,21099593,21174241,21764169
526,526,20581929,20652345,21259607
527,527,20838124,20910138,21508338
528,528,20801018,20874462,21488151
529,529,20854125,20929040,21572886
530,530,20470633,20545859,21251931
531,531,20649645,20720509,21348041
532,532,20834618,20909806,21609727
533,533,21216383,21298841,21948718
534,534,21324389,21401331,22066195
535,535,19830607,19897254,20582268
536,536,20418454,20493444,21245152
537,537,21263269,21340049,21949848
538,538,20694322,20766212,21461931
539,539,21160220,21241577,21934646
540,540,21116461,21195258,21834878
541,541,21782305,21858301,22511465
542,542,21467907,21542549,22241662
543,543,20977189,21052877,21728801
544,544,21484077,21559146,22270907
545,545,21627969,21708445,22403822
546,546,21251653,21325103,22103137
547,547,22185382,22268480,22930097
548,548,21109180,21188814,21927977
549,549,21842606,21923750,22636094
550,550,22558812,22641955,23288579
551,551,21770003,21848729,22551261
552,552,20780988,20853786,21596318
553,553,22071094,22146565,22898991
554,554,21839774,21915107,22663325
555,555,21405651,21481642,22230755
556,556,22546176,22626093,23363649
557,557,22224082,22299217,23045044
558,558,21939336,22017901,22766554
559,559,22275673,22357582,23025783
560,560,21862123,21944551,22699947
561,561,22317259,22397889,23199263
562,562,22192802,22273724,22988042
563,563,22500906,22581060,23356438
564,564,22254875,22333697,23139163
565,565,22916729,22999102,23686629
566,566,22420349,22503370,23252151
567,567,23076809,23156722,23913200
568,568,23112670,23195075,23950103
569,569,22706909,22787577,23575931
570,570,23598971,23683760,24450548
571,571,22447821,22524996,23304054
572,572,22122204,22201712,22982326
573,573,23175080,23255683,24040776
574,574,22572289,22653355,23440710
575,575,23682301,23768156,24477234
576,576,23456031,23536298,24314236
577,577,23616568,23695177,24418967
578,578,23158288,23240961,24080130
579,579,22234364,22314780,23073883
580,580,22822043,22899478,23677482
581,581,22857525,22935557,23768718
582,582,23957312,24038500,24832370
583,583,23591135,23676686,24480642
584,584,23909042,23990322,24815855
585,585,22139550,22220873,23080835
586,586,22388474,22469112,23343256
587,587,23895995,23978037,24817771
588,588,24625953,24711815,25505798
589,589,25017522,25094519,25900523
590,590,23611201,23690632,24511139
591,591,23153296,23234638,24108665
592,592,24167670,24252569,25054126
593,593,23504114,23585763,24398679
594,594,23653607,23736536,24578234
595,595,23422903,23502723,24374288
596,596,23172463,23255901,24095092
597,597,23880912,23960275,24801908
598,598,23510894,23594409,24367875
599,599,23894846,23976395,24792483
600,600,24238627,24321990,25180182
601,601,24572682,24655654,25458539
602,602,24103331,24185472,25043091
603,603,24384527,24471017,25301892
604,604,23455562,23535246,24456344
605,605,23815406,23892159,24771423
606,606,24076808,24159523,25000393
607,607,25038154,25121336,25977318
608,608,24458211,24543804,25355125
609,609,24566640,24647876,25515352
610,610,25595231,25677169,26548460
611,611,24921876,25006724,25826915
612,612,24249023,24332937,25278186
613,613,24524179,24603703,25506713
614,614,24299366,24375152,25265955
615,615,25478028,25560431,26385725
616,616,24163156,24245693,25134988
617,617,25204928,25286868,26179254
618,618,24908309,24990408,25903223
619,619,25040948,25127593,26028200
620,620,24152738,24231625,25169211
621,621,24539393,24622223,25552976
622,622,25335194,25420426,26347217
623,623,24498060,24584178,25517558
624,624,24702238,24783540,25717773
625,625,25676377,25754230,26641607
626,626,25569446,25653692,26540537
627,627,24780681,24862587,25771963
628,628,24802340,24884324,25859213
629,629,24643607,24725637,25718321
630,630,25335420,25418775,26328535
631,631,25585740,25670695,26586816
632,632,26250017,26327384,27258366
633,633,26060773,26142899,27090946
634,634,25399220,25476732,26450930
635,635,25904778,25987514,26925564
636,636,25907545,25993295,26932461
637,637,25908180,25988566,26922908
638,638,26760197,26843390,27746282
639,639,26296016,26379903,27303011
640,640,24845865,24928460,25916741
641,641,26504360,26584175,27503716
642,642,25146899,25225602,26156153
643,643,25848647,25928349,26892664
644,644,26188082,26271093,27204326
645,645,26169779,26250285,27276152
646,646,26632534,26712974,27652217
647,647,26280055,26358690,27329198
648,648,26095745,26173781,27196275
649,649,27532046,27613336,28555232
650,650,26245353,26327190,27301790
651,651,26611466,26690550,27657564
652,652,26870856,26958325,27947957
653,653,26377641,26461481,27392074
654,654,26261156,26342098,27263008
655,655,26292158,26374526,27378820
656,656,27759736,27840996,28768169
657,657,26908172,26989879,28005580
658,658,26492637,26572850,27664768
659,659,26437493,26515800,27524728
660,660,27517551,27601698,28549025
661,661,27706794,27789250,28770246
662,662,27816317,27898432,28876883
663,663,26137266,26221038,27195886
664,664,27500710,27585028,28630882
665,665,27088361,27172992,28181958
666,666,26843019,26927268,27878264
667,667,26865599,26944713,27934062
668,668,27374066,27455590,28438998
669,669,27604024,27686086,28741759
670,670,27567895,27656307,28654728
671,671,26938814,27020429,28039144
672,672,27071269,27151947,28142869
673,673,27975589,28055644,29083319
674,674,28961261,29049536,30071747
675,675,26850053,26931885,28028211
676,676,27414056,27496116,28568381
677,677,28781420,28863576,29879182
678,678,27671029,27750476,28791915
679,679,28285070,28368313,29424039
680,680,28457483,28535794,29623421
681,681,27895555,27980181,28983928
682,682,27416203,27499185,28542419
683,683,27945026,28028362,29108487
684,684,28648375,28730559,29804581
685,685,27701556,27789251,28843285
686,686,26950799,27037406,28068767
687,687,27882653,27966231,29050007
688,688,28843995,28926272,29967176
689,689,28166545,28248746,29326741
690,690,27285610,27369593,28484868
691,691,28269299,28353359,29422330
692,692,28053071,28134318,29177080
693,693,27959335,28040516,29075786
694,694,28814266,28893239,29952432
695,695,29230664,29318759,30371506
696,696,29840385,29929220,30945295
697,697,28316886,28403975,29435792
698,698,28301072,28383347,29504869
699,699,28984346,29066604,30166695
700,700,28491366,28576288,29631444
701,701,28606802,28697617,29805399
702,702,29271969,29365840,30429167
703,703,29405833,29493292,30520863
704,704,27865218,27951025,29083236
705,705,29507145,29588502,30686216
706,706,28551126,28631273,29816323
707,707,30257215,30341261,31433644
708,708,28651944,28736628,29852029
709,709,28976322,29059026,30136358
710,710,29933848,30016962,31131434
711,711,29868131,29958157,30961065
712,712,28311075,28393191,29587478
713,713,28386453,28472189,29577317
714,714,29157680,29243636,30418507
715,715,30125364,30217825,31344017
716,716,29080189,29164451,30301483
717,717,29729056,29815460,30921706
718,718,28766801,28852097,30008314
719,719,29840770,29932870,30981775
720,720,29451234,29541797,30596815
721,721,29167926,29260935,30366122
722,722,30926557,31019671,32139458
723,723,30139114,30232286,31351292
724,724,30093051,30184349,31305215
725,725,28341630,28424713,29554183
726,726,30334178,30431498,31493924
727,727,29196026,29281501,30431116
728,728,29365429,29455417,30593252
729,729,30098719,30190055,31356949
730,730,31580112,31675788,32829997
731,731,29727212,29816926,30885038
732,732,30195618,30286485,31440072
733,733,29950762,30044969,31213042
734,734,29663292,29751377,30928428
735,735,29893606,29985913,31133367
736,736,29587452,29676768,30878054
737,737,29718029,29804802,30959633
738,738,31450341,31548971,32638498
739,739,29996341,30090763,31231961
740,740,32010510,32114560,33309736
741,741,30381547,30474750,31619138
742,742,31057100,31151771,32315042
743,743,31754961,31862968,33013254
744,744,30341601,30432583,31555959
745,745,30710473,30803497,31948310
746,746,32100949,32204043,33378614
747,747,31678208,31785331,32912215
748,748,29253297,29340127,30518776
749,749,31014810,31109259,32299516
750,750,30714774,30813115,31919296
751,751,30678171,30772330,31958763
752,752,31338917,31431707,32603405
753,753,32262849,32365024,33481146
754,754,30271222,30362229,31538313
755,755,32265793,32372959,33479784
756,756,32672258,32782936,33951475
757,757,30817740,30908316,32147336
758,758,31578753,31679858,32803372
759,759,31466414,31565063,32732423
760,760,32458571,32559209,33730834
761,761,31524583,31621972,32737270
762,762,31206499,31306073,32495236
763,763,32648088,32756079,33936776
764,764,31980962,32076315,33257560
765,765,31820084,31920987,33127163
766,766,32587777,32692891,33889423
767,767,32447275,32555014,33733439
768,768,32329816,32440347,33547108
769,769,32707652,32811659,33962362
770,770,31478516,31578690,32742068
771,771,32827603,32940837,34101068
772,772,33477775,33588603,34755427
773,773,33075962,33180652,34356296
774,774,32680624,32787349,34006170
775,775,31646848,31747149,32919095
776,776,31631506,31731429,32932977
777,777,33455414,33562844,34775637
778,778,32798823,32905186,34125913
779,779,32658864,32761321,33923123
780,780,32970391,33078091,34317711
781,781,32921731,33029356,34225890
782,782,31420284,31519053,32742178
783,783,33102862,33207102,34326399
784,784,33927101,34043046,35244830
785,785,31794142,31893435,33135952
786,786,32789888,32895900,34081735
787,787,32514849,32624569,33793017
788,788,33670416,33779338,35033224
789,789,32208758,32312078,33571268
790,790,32640880,32746806,34000487
791,791,32031401,32133799,33381781
792,792,32954716,33065627,34241815
793,793,33909903,34023241,35133986
794,794,32772802,32880136,34123751
795,795,32025928,32130020,33422786
796,796,31983712,32078321,33390640
797,797,34476371,34586773,35724172
798,798,34319558,34435764,35573899
799,799,33800480,33915838,35159840
800,800,33218379,33332993,34548510
801,801,33792169,33901454,35066109
802,802,34124685,34241453,35482342
803,803,33052157,33167376,34352427
804,804,33742431,33850842,35050187
805,805,34369925,34489206,35702080
806,806,34158548,34273922,35502021
807,807,33461776,33573814,34800898
808,808,34105038,34214406,35447644
809,809,34628019,34740504,35957631
810,810,33384293,33497116,34661269
811,811,34741238,34855443,36060239
812,812,34803340,34920178,36164683
813,813,34634137,34748578,35950091
814,814,34366415,34483423,35724840
815,815,34040221,34150889,35341744
816,816,34161151,34274560,35508119
817,817,34134454,34251664,35503419
818,818,34903856,35016807,36249283
819,819,35151405,35263900,36397608
820,820,33928907,34041490,35348469
821,821,32797241,32903066,34159769
822,822,35082631,35200108,36477766
823,823,34491486,34599709,35815338
824,824,35106172,35221903,36526946
825,825,35491490,35607315,36824271
826,826,34958563,35075532,36308649
827,827,34260185,34370538,35572439
828,828,34884916,35001167,36254028
829,829,34228265,34338846,35572542
830,830,35864532,35972358,37216073
831,831,34958207,35069991,36321431
832,832,35132098,35248696,36456941
833,833,33648038,33752853,35063111
834,834,36033689,36153227,37360171
835,835,35263029,35384252,36682990
836,836,34562196,34671063,35958124
837,837,35336493,35456939,36730194
838,838,34959592,35069341,36327711
839,839,34549630,34669896,35890438
840,840,35631253,35751561,36989129
841,841,34755058,34869592,36139126
842,842,36269140,36389188,37625235
843,843,36965777,37085047,38290543
844,844,34517028,34627339,35920121
845,845,36860567,36977635,38209658
846,846,35322228,35435336,36754474
847,847,36994891,37116251,38337633
848,848,36278499,36396920,37735818
849,849,35143672,35254956,36563613
