ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
952,952,40495133,41477863,43038888
953,953,39738090,40737524,42460033
954,954,39492322,40570607,42032974
955,955,39533440,40535712,42238634
956,956,38641006,39604043,41268887
957,957,40713207,41600223,43302002
958,958,40595155,41596164,43181377
959,959,39800212,40762536,42173746
960,960,39479235,40425638,41998586
961,961,39382481,40268107,42086418
962,962,39838786,40851477,42227099
963,963,39740570,40701897,42357892
964,964,40524187,41462799,42997528
965,965,41528197,42272334,44132374
966,966,42121527,43122680,44587158
967,967,40736951,41583851,43407119
968,968,38997507,39995737,41450567
969,969,40926028,41841189,43425367
970,970,42444563,43329204,44809143
971,971,41409963,42411651,43901291
972,972,40361718,41345276,43002524
973,973,42324135,43353613,45026368
974,974,42285377,43224223,44870162
975,975,42128310,43051739,44492426
976,976,42433782,43435092,44844309
977,977,40243594,41237649,42869102
978,978,40496820,41648434,43050595
979,979,40819539,41974776,43841289
980,980,42031555,42873557,44411520
981,981,39809734,40765867,42318084
982,982,42433864,43418056,44890073
983,983,42526717,43504147,45270708
984,984,42671265,43641002,44915376
985,985,43554480,44459581,45962497
986,986,41507619,42448357,43937480
987,987,42882123,44027189,45424563
988,988,41113368,42116330,43780206
989,989,42331017,43430578,45004747
990,990,42282163,43461813,44686858
991,991,41634368,42650534,44330473
992,992,42893038,43875485,45486924
993,993,42164232,43048006,44807307
994,994,42379697,43264840,44931435
995,995,40656274,41525180,43359494
996,996,41391061,42223678,43989031
997,997,41632965,42630610,44008512
998,998,43108614,44249497,45677535
999,999,44687584,45801134,47054709
1000,1000,40718460,41742123,43170176
102.647401	108.0136062
