ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
344,344,4609538,4609538,4609538
345,345,13704795,13704795,13704795
346,346,4437788,4437788,4437788
347,347,2725840,2725840,2725840
348,348,24958700,24958700,24958700
349,349,19866392,19866392,19866392
350,350,19219184,19219184,19219184
351,351,20974358,20974358,20974358
352,352,5462634,5462634,5462634
353,353,22970225,22970225,22970225
354,354,7088444,7088444,7088444
355,355,24296246,24296246,24296246
356,356,18287136,18287136,18287136
357,357,16623852,16623852,16623852
358,358,8780160,8780160,8780160
359,359,7420151,7420151,7420151
360,360,5722420,5722420,5722420
361,361,15896889,15896889,15896889
362,362,1110668,1110668,1110668
363,363,14814870,14814870,14814870
364,364,6097252,6097252,6097252
365,365,27181561,27181561,27181561
366,366,13647296,13647296,13647296
367,367,20091573,20091573,20091573
368,368,26149860,26149860,26149860
369,369,2269295,2269295,2269295
370,370,769216,769216,769216
371,371,14031802,14031802,14031802
372,372,10698114,10698114,10698114
373,373,7083255,7083255,7083255
374,374,22906272,22906272,22906272
375,375,1045772,1045772,1045772
376,376,17928922,17928922,17928922
377,377,23284114,23284114,23284114
378,378,9201700,9201700,9201700
379,379,21168793,21168793,21168793
380,380,685730,685730,685730
381,381,28582155,28582155,28582155
382,382,16371136,16371136,16371136
383,383,24767450,24767450,24767450
384,384,3527076,3527076,3527076
385,385,1407425,1407425,1407425
386,386,25187700,25187700,25187700
387,387,22604923,22604923,22604923
388,388,13081250,13081250,13081250
389,389,2558147,2558147,2558147
390,390,25312320,25312320,25312320
391,391,13914404,13914404,13914404
392,392,25348802,25348802,25348802
393,393,20152400,20152400,20152400
394,394,2849184,2849184,2849184
395,395,4991655,4991655,4991655
396,396,27211994,27211994,27211994
397,397,24217906,24217906,24217906
398,398,5550160,5550160,5550160
399,399,4432715,4432715,4432715
400,400,21515610,21515610,21515610
401,401,7515833,7515833,7515833
402,402,29950992,29950992,29950992
403,403,19084375,19084375,19084375
404,404,18227344,18227344,18227344
405,405,26275480,26275480,26275480
406,406,4623984,4623984,4623984
407,407,26318486,26318486,26318486
408,408,24561160,24561160,24561160
409,409,286110,286110,286110
410,410,21573196,21573196,21573196
411,411,25419347,25419347,25419347
412,412,4562138,4562138,4562138
413,413,31950670,31950670,31950670
414,414,13260312,13260312,13260312
415,415,630435,630435,630435
416,416,2532002,2532002,2532002
417,417,23634770,23634770,23634770
418,418,20479320,20479320,20479320
419,419,31643920,31643920,31643920
420,420,24627614,24627614,24627614
421,421,26552386,26552386,26552386
422,422,32903968,32903968,32903968
423,423,23878625,23878625,23878625
424,424,3582434,3582434,3582434
425,425,14647784,14647784,14647784
426,426,29771420,29771420,29771420
427,427,18285293,18285293,18285293
428,428,3246150,3246150,3246150
429,429,13560283,13560283,13560283
430,430,838632,838632,838632
431,431,19795974,19795974,19795974
432,432,9771996,9771996,9771996
433,433,7170240,7170240,7170240
434,434,17455712,17455712,17455712
435,435,28273292,28273292,28273292
436,436,13749596,13749596,13749596
437,437,415151,415151,415151
438,438,24984720,24984720,24984720
439,439,18445252,18445252,18445252
440,440,22065498,22065498,22065498
441,441,11229613,11229613,11229613
442,442,32121716,32121716,32121716
443,443,3436210,3436210,3436210
444,444,32951914,32951914,32951914
445,445,5415638,5415638,5415638
446,446,3852664,3852664,3852664
447,447,21763301,21763301,21763301
448,448,967220,967220,967220
449,449,3694716,3694716,3694716
450,450,11825484,11825484,11825484
451,451,34602496,34602496,34602496
452,452,12035250,12035250,12035250
453,453,5762900,5762900,5762900
454,454,8504832,8504832,8504832
455,455,2913923,2913923,2913923
456,456,8507924,8507924,8507924
457,457,4643746,4643746,4643746
458,458,21810500,21810500,21810500
459,459,7631787,7631787,7631787
460,460,24320030,24320030,24320030
461,461,5959198,5959198,5959198
462,462,4248272,4248272,4248272
463,463,22132935,22132935,22132935
464,464,35751694,35751694,35751694
465,465,4036568,4036568,4036568
466,466,34594040,34594040,34594040
467,467,17616760,17616760,17616760
468,468,6158600,6158600,6158600
469,469,36777191,36777191,36777191
470,470,8962112,8962112,8962112
471,471,32530585,32530585,32530585
472,472,10129184,10129184,10129184
473,473,8287285,8287285,8287285
474,474,18744720,18744720,18744720
475,475,17310524,17310524,17310524
476,476,1592222,1592222,1592222
477,477,22761164,22761164,22761164
478,478,20637800,20637800,20637800
479,479,37240593,37240593,37240593
480,480,33751120,33751120,33751120
481,481,27470206,27470206,27470206
482,482,34650588,34650588,34650588
483,483,32328760,32328760,32328760
484,484,17235088,17235088,17235088
485,485,11164070,11164070,11164070
486,486,3728736,3728736,3728736
487,487,22319631,22319631,22319631
488,488,2645200,2645200,2645200
489,489,38670282,38670282,38670282
490,490,38595408,38595408,38595408
491,491,10031437,10031437,10031437
492,492,6352268,6352268,6352268
493,493,4777090,4777090,4777090
494,494,15669512,15669512,15669512
495,495,21109020,21109020,21109020
496,496,22024758,22024758,22024758
497,497,15208930,15208930,15208930
498,498,36413020,36413020,36413020
499,499,29179535,29179535,29179535
500,500,9891052,9891052,9891052
501,501,6158759,6158759,6158759
502,502,29726432,29726432,29726432
503,503,22644650,22644650,22644650
504,504,4437400,4437400,4437400
505,505,22491209,22491209,22491209
506,506,7423264,7423264,7423264
507,507,38928746,38928746,38928746
508,508,34981650,34981650,34981650
509,509,8671954,8671954,8671954
510,510,40708304,40708304,40708304
511,511,5584211,5584211,5584211
512,512,19980555,19980555,19980555
513,513,39877262,39877262,39877262
514,514,19603250,19603250,19603250
515,515,38271387,38271387,38271387
516,516,37725259,37725259,37725259
517,517,10330145,10330145,10330145
518,518,7042230,7042230,7042230
519,519,19093067,19093067,19093067
520,520,3877162,3877162,3877162
521,521,39170601,39170601,39170601
522,522,3559122,3559122,3559122
523,523,19094576,19094576,19094576
524,524,12803583,12803583,12803583
525,525,40942131,40942131,40942131
526,526,20215720,20215720,20215720
527,527,14661108,14661108,14661108
528,528,17998206,17998206,17998206
529,529,9229766,9229766,9229766
530,530,13238256,13238256,13238256
531,531,2273113,2273113,2273113
532,532,3699713,3699713,3699713
533,533,4459461,4459461,4459461
534,534,16992129,16992129,16992129
535,535,14758811,14758811,14758811
536,536,27420876,27420876,27420876
537,537,16086044,16086044,16086044
538,538,24922469,24922469,24922469
539,539,43752492,43752492,43752492
540,540,3873721,3873721,3873721
541,541,1859931,1859931,1859931
542,542,5019573,5019573,5019573
543,543,43882895,43882895,43882895
544,544,35061840,35061840,35061840
545,545,12871737,12871737,12871737
546,546,10281464,10281464,10281464
547,547,2598431,2598431,2598431
548,548,6981921,6981921,6981921
549,549,43431377,43431377,43431377
550,550,44735390,44735390,44735390
551,551,34348086,34348086,34348086
552,552,35366429,35366429,35366429
553,553,13587136,13587136,13587136
554,554,20720079,20720079,20720079
555,555,158795,158795,158795
556,556,26008840,26008840,26008840
557,557,36551697,36551697,36551697
558,558,22793897,22793897,22793897
559,559,7044003,7044003,7044003
560,560,5573205,5573205,5573205
561,561,44292095,44292095,44292095
562,562,38721835,38721835,38721835
563,563,4741659,4741659,4741659
564,564,24208464,24208464,24208464
565,565,29917924,29917924,29917924
566,566,5139582,5139582,5139582
567,567,26041944,26041944,26041944
568,568,25523823,25523823,25523823
569,569,43996539,43996539,43996539
570,570,29753076,29753076,29753076
571,571,33029304,33029304,33029304
572,572,21567474,21567474,21567474
573,573,2297179,2297179,2297179
574,574,43185872,43185872,43185872
575,575,8749239,8749239,8749239
576,576,36062959,36062959,36062959
577,577,29488643,29488643,29488643
578,578,39222876,39222876,39222876
579,579,21888214,21888214,21888214
580,580,42977686,42977686,42977686
581,581,34811829,34811829,34811829
582,582,4134020,4134020,4134020
583,583,10231308,10231308,10231308
584,584,11666859,11666859,11666859
585,585,27807913,27807913,27807913
586,586,47679939,47679939,47679939
587,587,34572126,34572126,34572126
588,588,25016380,25016380,25016380
589,589,10826940,10826940,10826940
590,590,24356808,24356808,24356808
591,591,47256050,47256050,47256050
592,592,48309415,48309415,48309415
593,593,28110489,28110489,28110489
594,594,48915256,48915256,48915256
595,595,1120699,1120699,1120699
596,596,3007776,3007776,3007776
597,597,37732684,37732684,37732684
598,598,34470980,34470980,34470980
599,599,3439107,3439107,3439107
600,600,9086314,9086314,9086314
601,601,40000985,40000985,40000985
602,602,38664054,38664054,38664054
603,603,25290697,25290697,25290697
604,604,28583522,28583522,28583522
605,605,40180149,40180149,40180149
606,606,50152039,50152039,50152039
607,607,28668133,28668133,28668133
608,608,28294128,28294128,28294128
609,609,30294459,30294459,30294459
610,610,38193196,38193196,38193196
611,611,18430752,18430752,18430752
612,612,7915850,7915850,7915850
613,613,34672792,34672792,34672792
614,614,20067078,20067078,20067078
615,615,29753504,29753504,29753504
616,616,43054655,43054655,43054655
617,617,41158017,41158017,41158017
618,618,23127492,23127492,23127492
619,619,11850153,11850153,11850153
620,620,18673200,18673200,18673200
621,621,10009422,10009422,10009422
622,622,17865217,17865217,17865217
623,623,6286485,6286485,6286485
624,624,34634102,34634102,34634102
625,625,32799331,32799331,32799331
626,626,37311417,37311417,37311417
627,627,10855705,10855705,10855705
628,628,3144399,3144399,3144399
